#,Category,"Asset Tag",Name,Model,Serial,Image
1,Laptop,TKD/EQ/10214,"HP  Zbook 15 Mobile Workstation","HP Zbook 15 G3",CND72054FX,
2,Monitor,TKD/EQ/10582,"HP M27fw fhd Monitor",M27fw,3CM3080TP2,
